,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
97,diethylftalaat(DEP),passed,0.00012796849326193884,0.9901678665124379,84662,Diethyl phthalate (DEP),222.24,287.2,2.47,1.407730396,overige,3.0,,0.0001
98,di-isobutylftalaat(DIBP),passed,0.0200118030933663,1.0001797663302185,,Diisobutyl phthalate,278.35,9.6,4.46,2.00453864,overige,3.0,,0.0001
99,dibuthylftalaat(DBP),passed,0.14207026429176323,1.0033456724532765,84742,dibutyl phthalate,278.35,2.351,4.72,1.745420579,overige,3.0,,0.0001
100,butylbenzylftalaat(BBP),passed,0.0846737141169607,1.0038844660382273,85687,benzyl butyl phthalate (BBP),312.3966666,4.218630438,4.91,2.673692963,overige,3.0,,0.0001
101,dihexylftalaat(DHP),failed,0.9994959143280981,2.082672138228649e-305,84753,Dihexyl phthalate (DHP),334.5,0.01151,6.85,3.413505198,overige,3.0,,0.0001
102,di(2-ethylhexyl)ftalaat,failed,0.999820727157593,7.409587785625921e-303,117817,di(2-ethylhexyl)phthalate,390.5866662,0.045738942,7.45,4.133470728,overige,3.0,,0.0001
103,pyridine,passed,1.55335607921328e-05,0.9929690584857097,110861,pyridine,79.1,665483.58,0.65,0.714917304,overige,3.0,,0.0001
104,tetrahydrothiophene,failed,0.00014467920085288737,0.9899072439126955,110010,tetrahydrothiophene,88.17499986,12894.97733,1.61,0.232488206,overige,3.0,,0.0001
105,Tribroommethaan,passed,0.00011021733392105042,0.9946970062008206,,Tribromomethane,252.8,1719.0,2.67,0.946079776,overige,3.0,,0.0001
106,m-Cresol,failed,0.0002285989853750848,0.9894654748989367,108394,m-Cresol,108.1166641,6321.665372,1.96,0.517742126,overige,3.0,,0.001
107,o-Cresol,passed,0.0002121412522173264,0.9915155543911793,95487,o-Cresol,108.1166641,14858.86058,1.95,0.399094472,overige,3.0,,0.001
108,p-Cresol,failed,0.0001983532016740089,0.9883472113661439,106445,p-Cresol,108.1099991,28640.96526,1.94,0.444357034,overige,3.0,,0.001
